CGPA_Class,Gender,V1-1_(1),Time_Day_Watched_(V1-1),Student_Rating_(V1-1),V1-2_(1),Time_Day_Watched_(V1-2),Student_Rating_(V1-2),V1-3_(1),Time_Day_Watched_(V1-3),Student_Rating_(V1-3),V1-4_(1),Time_Day_Watched_(V1-4),Student_Rating_(V1-4),Overall_Rating_V1,Watch_Status_V1,V1_PercentWatched,V2-1_(2),Time_Day_Watched_(V2-1),Student_Rating_(V2-1),V2-2_(2),Time_Day_Watched_(V2-2),Student_Rating_(V2-2),V2-3_(2),Time_Day_Watched_(V2-3),Student_Rating_(V2-3),V2-4_(2),Time_Day_Watched_(V2-4),Student_Rating_(V2-4),Overall_Rating_V2,Watch_Status_V2,V2_PercentWatched,V3-1_(3),Time_Day_Watched_(V3-1),Student_Rating_(V3-1),V3-2_(3),Time_Day_Watched_(V3-2),Student_Rating_(V3-2),V3-3_(3),Time_Day_Watched_(V3-3),Student_Rating_(V3-3),V3-4_(3),Time_Day_Watched_(V3-4),Student_Rating_(V3-4),Overall_Rating_V3,Watch_Status_V3,V3_PercentWatched,A/R_Score,Active,Reflective,S/I_Score,Sensing,Intuitive,Vi/Vb_Score,Visual,Verbal,S/G_Score,Sequential,Global,Quiz,part_day_V1-1,part_day_V1-2,part_day_V1-3,part_day_V1-4,part_day_V2-1,part_day_V2-2,part_day_V2-3,part_day_V2-4,part_day_V3-1,part_day_V3-2,part_day_V3-3,part_day_V3-4
3.67 - 4.00,Male,6,2021-09-05 10:30:00,Very Good,50.0,2021-09-05 11:50:00,Very Good,22.0,2021-09-05 11:00:00,Satisfactory,5,2021-09-05 10:35:00,Satisfactory,Very Good,Completed,100.0,15,2021-09-05 10:42:00,Very Good,35.0,2021-09-05 11:54:00,Very Good,12.0,2021-09-05 10:50:00,Satisfactory,7.0,2021-09-05 10:38:00,Satisfactory,Very Good,Rewatched,102.9850746,9.0,2021-09-05 11:24:00,Very Good,4.0,2021-09-05 10:19:00,Very Good,13.0,2021-09-05 10:14:00,Satisfactory,5.0,2021-09-05 10:01:00,Very Good,Very Good,Completed,100.0,1,1,0,1,1,0,9,1,0,1,1,0,9,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning
3.67 - 4.00,Male,6,2021-09-07 22:43:00,Excellent,50.0,2021-09-07 20:32:00,Excellent,22.0,2021-09-05 19:17:00,Excellent,5,2021-09-05 18:54:00,Excellent,Excellent,Completed,100.0,13,2021-09-07 22:59:00,Excellent,35.0,2021-09-05 20:42:00,Excellent,12.0,2021-09-05 19:29:00,Excellent,7.0,2021-09-05 19:39:00,Excellent,Excellent,Completed,100.0,12.0,2021-09-07 23:37:00,Excellent,4.0,2021-09-05 19:44:00,Excellent,13.0,2021-09-05 19:58:00,Excellent,5.0,2021-09-05 20:06:00,Excellent,Excellent,Rewatched,109.6774194,1,1,0,7,1,0,7,1,0,7,1,0,8,night,night,night,afternoon,night,night,night,night,night,night,night,night
3.67 - 4.00,Male,7,2021-09-05 01:30:00,Excellent,55.0,2021-09-05 14:38:00,Fair,22.0,2021-09-05 01:54:00,Very Good,5,2021-09-05 02:01:00,Satisfactory,Very Good,Rewatched,107.2289157,13,2021-09-05 02:15:00,Very Good,35.0,2021-09-05 12:55:00,Very Good,12.0,2021-09-05 02:30:00,Excellent,7.0,2021-09-05 02:38:00,Very Good,Very Good,Completed,100.0,9.0,2021-09-05 11:20:00,Excellent,4.0,2021-09-05 11:24:00,Very Good,13.0,2021-09-05 11:54:00,Excellent,5.0,2021-09-05 12:19:00,Satisfactory,Very Good,Completed,100.0,3,1,0,1,1,0,9,1,0,5,1,0,10,midnight,afternoon,midnight,midnight,midnight,morning,midnight,midnight,morning,morning,morning,morning
3.67 - 4.00,Male,7,2021-09-05 17:47:00,Very Good,50.0,2021-09-05 22:41:00,Very Good,22.0,2021-09-05 19:43:00,Very Good,5,2021-09-05 19:01:00,Satisfactory,Very Good,Rewatched,101.2048193,16,2021-09-05 18:24:00,Very Good,35.0,2021-09-05 21:04:00,Very Good,12.0,2021-09-05 20:24:00,Very Good,7.0,2021-09-05 19:09:00,Satisfactory,Very Good,Rewatched,104.4776119,9.0,2021-09-05 18:55:00,Excellent,4.0,2021-09-05 19:14:00,Excellent,13.0,2021-09-05 20:07:00,Excellent,5.0,2021-09-05 19:20:00,Excellent,Excellent,Completed,100.0,5,0,1,3,1,0,5,1,0,1,0,1,8,afternoon,night,night,night,afternoon,night,night,night,afternoon,night,night,night
3.33 - 3.66,Male,6,2021-09-07 08:15:00,Satisfactory,50.0,2021-09-07 09:13:00,Satisfactory,22.0,2021-09-07 09:37:00,Satisfactory,5,2021-09-07 09:20:00,Satisfactory,Satisfactory,Completed,100.0,13,2021-09-07 11:55:00,Very Good,35.0,2021-09-07 10:44:00,Satisfactory,12.0,2021-09-07 09:56:00,Satisfactory,7.0,2021-09-07 09:55:00,Satisfactory,Satisfactory,Completed,100.0,9.0,2021-09-07 11:44:00,Very Good,4.0,2021-09-07 10:05:00,Very Good,13.0,2021-09-07 09:44:00,Satisfactory,5.0,2021-09-07 09:29:00,Satisfactory,Very Good,Completed,100.0,5,1,0,5,1,0,11,1,0,1,0,1,7,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning
2.67 - 3.32,Male,6,2021-09-02 18:04:00,Very Good,50.0,2021-09-02 18:52:00,Very Good,22.0,2021-09-02 18:28:00,Satisfactory,5,2021-09-02 18:29:00,Very Good,Very Good,Completed,100.0,13,2021-09-02 18:56:00,Very Good,35.0,2021-09-02 19:13:00,Very Good,12.0,2021-09-02 18:38:00,Satisfactory,7.0,2021-09-02 18:38:00,Very Good,Very Good,Completed,100.0,9.0,2021-09-02 22:03:00,Very Good,4.0,2021-09-02 18:45:00,Very Good,13.0,2021-09-02 19:00:00,Satisfactory,5.0,2021-09-02 18:59:00,Satisfactory,Very Good,Completed,100.0,1,1,0,5,1,0,5,1,0,1,0,1,5,afternoon,afternoon,afternoon,afternoon,afternoon,night,afternoon,afternoon,night,afternoon,night,afternoon
2.67 - 3.32,Male,6,2021-09-08 04:24:00,Very Good,50.0,2021-09-08 05:39:00,Very Good,22.0,2021-09-08 04:54:00,Very Good,5,2021-09-08 04:38:00,Very Good,Very Good,Completed,100.0,13,2021-09-08 05:03:00,Very Good,35.0,2021-09-08 05:20:00,Very Good,12.0,2021-09-08 04:55:00,Excellent,7.0,2021-09-08 04:52:00,Very Good,Very Good,Completed,100.0,19.0,2021-09-08 04:57:00,Very Good,4.0,2021-09-08 04:19:00,Very Good,13.0,2021-09-08 04:47:00,Very Good,5.0,2021-09-08 03:56:00,Very Good,Very Good,Rewatched,132.2580645,1,0,1,1,1,0,7,1,0,5,0,1,8,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight,midnight
2.67 - 3.32,Male,7,2021-09-08 07:00:00,Satisfactory,55.0,2021-09-08 07:45:00,Fair,22.0,2021-09-08 06:43:00,Satisfactory,5,2021-09-08 06:27:00,Satisfactory,Satisfactory,Rewatched,107.2289157,13,2021-09-08 07:17:00,Satisfactory,35.0,2021-09-08 07:29:00,Fair,12.0,2021-09-08 07:04:00,Satisfactory,7.0,2021-09-08 06:58:00,Satisfactory,Satisfactory,Completed,100.0,9.0,2021-09-08 07:31:00,Satisfactory,4.0,2021-09-08 07:08:00,Satisfactory,13.0,2021-09-08 07:21:00,Satisfactory,5.0,2021-09-08 07:14:00,Satisfactory,Satisfactory,Completed,100.0,3,0,1,5,1,0,5,1,0,1,0,1,9,morning,morning,midnight,midnight,morning,morning,morning,midnight,morning,morning,morning,morning
3.67 - 4.00,Male,6,2021-09-03 09:54:00,Very Good,0.0,2021-01-28 22:13:00,Poor (never watch it),22.0,2021-09-03 09:41:00,Very Good,5,2021-09-03 09:19:00,Fair,Satisfactory,Didnt Watch,39.75903614,15,2021-09-03 10:14:00,Very Good,35.0,2021-09-03 11:11:00,Satisfactory,12.0,2021-09-03 08:40:00,Very Good,7.0,2021-09-03 09:13:00,Satisfactory,Very Good,Rewatched,102.9850746,9.0,2021-09-03 12:23:00,Very Good,4.0,2021-09-03 08:53:00,Very Good,13.0,2021-09-03 08:22:00,Satisfactory,5.0,2021-09-03 09:04:00,Satisfactory,Very Good,Completed,100.0,1,0,1,3,1,0,5,1,0,1,0,1,7,morning,night,morning,morning,morning,morning,morning,morning,morning,morning,morning,morning
3.67 - 4.00,Male,6,2021-09-02 19:02:00,Excellent,50.0,2021-09-02 20:16:00,Satisfactory,45.0,2021-09-02 21:20:00,Excellent,5,2021-09-02 19:25:00,Satisfactory,Very Good,Rewatched,127.7108434,13,2021-09-02 21:27:00,Satisfactory,35.0,2021-09-02 22:04:00,Satisfactory,16.0,2021-09-02 21:58:00,Excellent,7.0,2021-09-02 21:38:00,Very Good,Very Good,Rewatched,105.9701493,11.0,2021-09-02 23:25:00,Excellent,4.0,2021-09-02 22:11:00,Very Good,13.0,2021-09-02 22:46:00,Very Good,5.0,2021-09-02 22:37:00,Very Good,Very Good,Rewatched,106.4516129,5,1,0,5,1,0,3,1,0,7,1,0,10,night,night,night,night,night,night,night,night,night,night,night,night
3.33 - 3.66,Male,6,2021-09-07 22:40:00,Excellent,50.0,2021-09-07 23:45:00,Excellent,22.0,2021-09-07 23:12:00,Excellent,5,2021-09-07 22:54:00,Excellent,Excellent,Completed,100.0,13,2021-09-07 23:45:00,Excellent,39.0,2021-09-08 00:02:00,Excellent,13.0,2021-09-07 23:13:00,Excellent,7.0,2021-09-07 23:30:00,Excellent,Excellent,Rewatched,107.4626866,11.0,2021-09-07 23:12:00,Excellent,4.0,2021-09-07 23:18:00,Excellent,13.0,2021-09-07 23:29:00,Excellent,5.0,2021-09-07 23:18:00,Excellent,Excellent,Rewatched,106.4516129,3,0,1,9,1,0,11,1,0,1,1,0,10,night,night,night,night,night,midnight,night,night,night,night,night,night
2.67 - 3.32,Male,6,2021-09-05 20:58:00,Excellent,50.0,2021-09-06 00:58:00,Very Good,22.0,2021-09-05 21:39:00,Satisfactory,5,2021-09-05 21:33:00,Satisfactory,Very Good,Completed,100.0,15,2021-09-05 21:09:00,Very Good,35.0,2021-09-05 22:13:00,Very Good,12.0,2021-09-05 21:31:00,Satisfactory,7.0,2021-09-05 21:27:00,Satisfactory,Very Good,Rewatched,102.9850746,11.0,2021-09-05 21:18:00,Excellent,4.0,2021-09-05 21:25:00,Satisfactory,13.0,2021-09-05 21:33:00,Satisfactory,5.0,2021-09-05 21:25:00,Satisfactory,Very Good,Rewatched,106.4516129,1,0,1,1,1,0,3,1,0,1,1,0,10,night,midnight,night,night,night,night,night,night,night,night,night,night
3.67 - 4.00,Male,6,2021-09-07 21:42:00,Satisfactory,50.0,2021-09-08 05:01:00,Satisfactory,25.0,2021-09-07 22:27:00,Very Good,6,2021-09-07 23:14:00,Fair,Satisfactory,Rewatched,104.8192771,15,2021-09-07 23:45:00,Very Good,35.0,2021-09-08 04:09:00,Satisfactory,12.0,2021-09-08 02:16:00,Satisfactory,7.0,2021-09-08 01:03:00,Very Good,Very Good,Rewatched,102.9850746,16.0,2021-09-08 02:36:00,Very Good,4.0,2021-09-08 03:04:00,Satisfactory,13.0,2021-09-08 03:00:00,Satisfactory,5.0,2021-09-08 02:43:00,Satisfactory,Satisfactory,Rewatched,122.5806452,3,0,1,9,1,0,1,1,0,1,1,0,9,night,midnight,night,night,night,midnight,midnight,midnight,midnight,midnight,midnight,midnight
